"","subject","activity","feature","mean"
"1",1,"WALKING","fBodyAccMag-mean()",-0.478448523354179
"2",1,"WALKING","fBodyAccMag-std()",-0.589710231217867
"3",1,"WALKING","fBodyBodyAccJerkMag-mean()",-0.499075765624092
"4",1,"WALKING","fBodyBodyAccJerkMag-std()",-0.541823079570029
"5",1,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.645970655298847
"6",1,"WALKING","fBodyBodyGyroJerkMag-std()",-0.685811262634006
"7",1,"WALKING","fBodyBodyGyroMag-mean()",-0.535002770337752
"8",1,"WALKING","fBodyBodyGyroMag-std()",-0.566576670397695
"9",1,"WALKING","tBodyAccJerkMag-mean()",-0.545431612066571
"10",1,"WALKING","tBodyAccJerkMag-std()",-0.515922167555159
"11",1,"WALKING","tBodyAccMag-mean()",-0.453632943768818
"12",1,"WALKING","tBodyAccMag-std()",-0.497096402038329
"13",1,"WALKING","tBodyGyroJerkMag-mean()",-0.639517432642651
"14",1,"WALKING","tBodyGyroJerkMag-std()",-0.652050770910663
"15",1,"WALKING","tBodyGyroMag-mean()",-0.475404785802305
"16",1,"WALKING","tBodyGyroMag-std()",-0.499839593745821
"17",1,"WALKING","tGravityAccMag-mean()",-0.453632943768818
"18",1,"WALKING","tGravityAccMag-std()",-0.497096402038329
"19",2,"STANDING","fBodyAccMag-mean()",-0.514569861316887
"20",2,"STANDING","fBodyAccMag-std()",-0.646662308457285
"21",2,"STANDING","fBodyBodyAccJerkMag-mean()",-0.509746432970861
"22",2,"STANDING","fBodyBodyAccJerkMag-std()",-0.518800797709272
"23",2,"STANDING","fBodyBodyGyroJerkMag-mean()",-0.751615078360927
"24",2,"STANDING","fBodyBodyGyroJerkMag-std()",-0.744194981440397
"25",2,"STANDING","fBodyBodyGyroMag-mean()",-0.699742945221854
"26",2,"STANDING","fBodyBodyGyroMag-std()",-0.725310337688742
"27",2,"STANDING","tBodyAccJerkMag-mean()",-0.58777744543543
"28",2,"STANDING","tBodyAccJerkMag-std()",-0.512115278415232
"29",2,"STANDING","tBodyAccMag-mean()",-0.535281800541722
"30",2,"STANDING","tBodyAccMag-std()",-0.552812545643709
"31",2,"STANDING","tBodyGyroJerkMag-mean()",-0.746559539039735
"32",2,"STANDING","tBodyGyroJerkMag-std()",-0.740088733655629
"33",2,"STANDING","tBodyGyroMag-mean()",-0.614771054893146
"34",2,"STANDING","tBodyGyroMag-std()",-0.680584887880795
"35",2,"STANDING","tGravityAccMag-mean()",-0.535281800541722
"36",2,"STANDING","tGravityAccMag-std()",-0.552812545643709
"37",3,"WALKING","fBodyAccMag-mean()",-0.579076453758064
"38",3,"WALKING","fBodyAccMag-std()",-0.663079838985044
"39",3,"WALKING","fBodyBodyAccJerkMag-mean()",-0.604752108072727
"40",3,"WALKING","fBodyBodyAccJerkMag-std()",-0.615643694857361
"41",3,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.810085498651026
"42",3,"WALKING","fBodyBodyGyroJerkMag-std()",-0.810032718739003
"43",3,"WALKING","fBodyBodyGyroMag-mean()",-0.716822144279179
"44",3,"WALKING","fBodyBodyGyroMag-std()",-0.703839403007038
"45",3,"WALKING","tBodyAccJerkMag-mean()",-0.650182434328446
"46",3,"WALKING","tBodyAccJerkMag-std()",-0.607658214170381
"47",3,"WALKING","tBodyAccMag-mean()",-0.563140802770059
"48",3,"WALKING","tBodyAccMag-std()",-0.591224780306452
"49",3,"WALKING","tBodyGyroJerkMag-mean()",-0.784056656246334
"50",3,"WALKING","tBodyGyroJerkMag-std()",-0.80366136372434
"51",3,"WALKING","tBodyGyroMag-mean()",-0.643150121648094
"52",3,"WALKING","tBodyGyroMag-std()",-0.674010290979472
"53",3,"WALKING","tGravityAccMag-mean()",-0.563140802770059
"54",3,"WALKING","tGravityAccMag-std()",-0.591224780306452
"55",4,"STANDING","fBodyAccMag-mean()",-0.602098037677603
"56",4,"STANDING","fBodyAccMag-std()",-0.672948341687697
"57",4,"STANDING","fBodyBodyAccJerkMag-mean()",-0.63501900541041
"58",4,"STANDING","fBodyBodyAccJerkMag-std()",-0.666506718936908
"59",4,"STANDING","fBodyBodyGyroJerkMag-mean()",-0.838833209652997
"60",4,"STANDING","fBodyBodyGyroJerkMag-std()",-0.863096864037855
"61",4,"STANDING","fBodyBodyGyroMag-mean()",-0.745650754608833
"62",4,"STANDING","fBodyBodyGyroMag-std()",-0.732586304826498
"63",4,"STANDING","tBodyAccJerkMag-mean()",-0.656116311856877
"64",4,"STANDING","tBodyAccJerkMag-std()",-0.647249966810726
"65",4,"STANDING","tBodyAccMag-mean()",-0.56158213510694
"66",4,"STANDING","tBodyAccMag-std()",-0.606556049548896
"67",4,"STANDING","tBodyGyroJerkMag-mean()",-0.819191368044164
"68",4,"STANDING","tBodyGyroJerkMag-std()",-0.844187064164038
"69",4,"STANDING","tBodyGyroMag-mean()",-0.656291093847319
"70",4,"STANDING","tBodyGyroMag-std()",-0.706738493542587
"71",4,"STANDING","tGravityAccMag-mean()",-0.56158213510694
"72",4,"STANDING","tGravityAccMag-std()",-0.606556049548896
"73",5,"WALKING","fBodyAccMag-mean()",-0.528503022745033
"74",5,"WALKING","fBodyAccMag-std()",-0.594259529756954
"75",5,"WALKING","fBodyBodyAccJerkMag-mean()",-0.573176177044172
"76",5,"WALKING","fBodyBodyAccJerkMag-std()",-0.613485123609272
"77",5,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.748829309536424
"78",5,"WALKING","fBodyBodyGyroJerkMag-std()",-0.735610602483444
"79",5,"WALKING","fBodyBodyGyroMag-mean()",-0.677355755703311
"80",5,"WALKING","fBodyBodyGyroMag-std()",-0.715731148145695
"81",5,"WALKING","tBodyAccJerkMag-mean()",-0.589313870006622
"82",5,"WALKING","tBodyAccJerkMag-std()",-0.589031268133113
"83",5,"WALKING","tBodyAccMag-mean()",-0.460866415568709
"84",5,"WALKING","tBodyAccMag-std()",-0.52162345171192
"85",5,"WALKING","tBodyGyroJerkMag-mean()",-0.707383517582782
"86",5,"WALKING","tBodyGyroJerkMag-std()",-0.734187493344371
"87",5,"WALKING","tBodyGyroMag-mean()",-0.602770284825828
"88",5,"WALKING","tBodyGyroMag-std()",-0.664078383532781
"89",5,"WALKING","tGravityAccMag-mean()",-0.460866415568709
"90",5,"WALKING","tGravityAccMag-std()",-0.52162345171192
"91",6,"WALKING","fBodyAccMag-mean()",-0.473974924380431
"92",6,"WALKING","fBodyAccMag-std()",-0.570910289993846
"93",6,"WALKING","fBodyBodyAccJerkMag-mean()",-0.494882316238462
"94",6,"WALKING","fBodyBodyAccJerkMag-std()",-0.516711262173969
"95",6,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.651886909221538
"96",6,"WALKING","fBodyBodyGyroJerkMag-std()",-0.660175875210246
"97",6,"WALKING","fBodyBodyGyroMag-mean()",-0.579130051151385
"98",6,"WALKING","fBodyBodyGyroMag-std()",-0.657368673849846
"99",6,"WALKING","tBodyAccJerkMag-mean()",-0.551413652396923
"100",6,"WALKING","tBodyAccJerkMag-std()",-0.502935062310769
"101",6,"WALKING","tBodyAccMag-mean()",-0.464770006998123
"102",6,"WALKING","tBodyAccMag-std()",-0.483790606354154
"103",6,"WALKING","tBodyGyroJerkMag-mean()",-0.621936158532308
"104",6,"WALKING","tBodyGyroJerkMag-std()",-0.644474485460492
"105",6,"WALKING","tBodyGyroMag-mean()",-0.549494852037046
"106",6,"WALKING","tBodyGyroMag-std()",-0.579837818063692
"107",6,"WALKING","tGravityAccMag-mean()",-0.464770006998123
"108",6,"WALKING","tGravityAccMag-std()",-0.483790606354154
"109",7,"WALKING","fBodyAccMag-mean()",-0.518323878824675
"110",7,"WALKING","fBodyAccMag-std()",-0.583819796092208
"111",7,"WALKING","fBodyBodyAccJerkMag-mean()",-0.553360009658182
"112",7,"WALKING","fBodyBodyAccJerkMag-std()",-0.550683254908442
"113",7,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.668879188156396
"114",7,"WALKING","fBodyBodyGyroJerkMag-std()",-0.668963362464935
"115",7,"WALKING","fBodyBodyGyroMag-mean()",-0.628877272791136
"116",7,"WALKING","fBodyBodyGyroMag-std()",-0.650923648207792
"117",7,"WALKING","tBodyAccJerkMag-mean()",-0.622815767680292
"118",7,"WALKING","tBodyAccJerkMag-std()",-0.550560230585714
"119",7,"WALKING","tBodyAccMag-mean()",-0.511312036747403
"120",7,"WALKING","tBodyAccMag-std()",-0.510669879158539
"121",7,"WALKING","tBodyGyroJerkMag-mean()",-0.713191348337662
"122",7,"WALKING","tBodyGyroJerkMag-std()",-0.658017844948377
"123",7,"WALKING","tBodyGyroMag-mean()",-0.581899897967532
"124",7,"WALKING","tBodyGyroMag-std()",-0.598670795839286
"125",7,"WALKING","tGravityAccMag-mean()",-0.511312036747403
"126",7,"WALKING","tGravityAccMag-std()",-0.510669879158539
"127",8,"WALKING","fBodyAccMag-mean()",-0.693568388292929
"128",8,"WALKING","fBodyAccMag-std()",-0.770877890434343
"129",8,"WALKING","fBodyBodyAccJerkMag-mean()",-0.715745792606061
"130",8,"WALKING","fBodyBodyAccJerkMag-std()",-0.749236439787879
"131",8,"WALKING","fBodyBodyGyroJerkMag-mean()",-0.817455544646465
"132",8,"WALKING","fBodyBodyGyroJerkMag-std()",-0.850242418585859
"133",8,"WALKING","fBodyBodyGyroMag-mean()",-0.741679153929293
"134",8,"WALKING","fBodyBodyGyroMag-std()",-0.755554747464646
"135",8,"WALKING","tBodyAccJerkMag-mean()",-0.725727509270707
"136",8,"WALKING","tBodyAccJerkMag-std()",-0.72913616179798
"137",8,"WALKING","tBodyAccMag-mean()",-0.684607146515152
"138",8,"WALKING","tBodyAccMag-std()",-0.71328703040404
"139",8,"WALKING","tBodyGyroJerkMag-mean()",-0.790885296565657
"140",8,"WALKING","tBodyGyroJerkMag-std()",-0.825828347373737
"141",8,"WALKING","tBodyGyroMag-mean()",-0.663265892582828
"142",8,"WALKING","tBodyGyroMag-std()",-0.72093816099596
"143",8,"WALKING","tGravityAccMag-mean()",-0.684607146515152
"144",8,"WALKING","tGravityAccMag-std()",-0.71328703040404
"145",8,"WALKING_UPSTAIRS","fBodyAccMag-mean()",-0.413399661273626
"146",8,"WALKING_UPSTAIRS","fBodyAccMag-std()",-0.5867768587
"147",8,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-mean()",-0.427796629448901
"148",8,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-std()",-0.546655472807692
"149",8,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-mean()",-0.639438448496154
"150",8,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-std()",-0.704299790384615
"151",8,"WALKING_UPSTAIRS","fBodyBodyGyroMag-mean()",-0.538348071541758
"152",8,"WALKING_UPSTAIRS","fBodyBodyGyroMag-std()",-0.572007930837912
"153",8,"WALKING_UPSTAIRS","tBodyAccJerkMag-mean()",-0.43009251566033
"154",8,"WALKING_UPSTAIRS","tBodyAccJerkMag-std()",-0.474901933907692
"155",8,"WALKING_UPSTAIRS","tBodyAccMag-mean()",-0.350982093868132
"156",8,"WALKING_UPSTAIRS","tBodyAccMag-std()",-0.467415039361538
"157",8,"WALKING_UPSTAIRS","tBodyGyroJerkMag-mean()",-0.60984136456044
"158",8,"WALKING_UPSTAIRS","tBodyGyroJerkMag-std()",-0.656008680989011
"159",8,"WALKING_UPSTAIRS","tBodyGyroMag-mean()",-0.374467449722308
"160",8,"WALKING_UPSTAIRS","tBodyGyroMag-std()",-0.505532707924725
"161",8,"WALKING_UPSTAIRS","tGravityAccMag-mean()",-0.350982093868132
"162",8,"WALKING_UPSTAIRS","tGravityAccMag-std()",-0.467415039361538
"163",9,"STANDING","fBodyAccMag-mean()",-0.553186448295139
"164",9,"STANDING","fBodyAccMag-std()",-0.624456827182986
"165",9,"STANDING","fBodyBodyAccJerkMag-mean()",-0.609193721940625
"166",9,"STANDING","fBodyBodyAccJerkMag-std()",-0.611619343190972
"167",9,"STANDING","fBodyBodyGyroJerkMag-mean()",-0.786473954201389
"168",9,"STANDING","fBodyBodyGyroJerkMag-std()",-0.801296292638889
"169",9,"STANDING","fBodyBodyGyroMag-mean()",-0.700863097986111
"170",9,"STANDING","fBodyBodyGyroMag-std()",-0.697729432621528
"171",9,"STANDING","tBodyAccJerkMag-mean()",-0.621608245092361
"172",9,"STANDING","tBodyAccJerkMag-std()",-0.608862145384722
"173",9,"STANDING","tBodyAccMag-mean()",-0.505183470509188
"174",9,"STANDING","tBodyAccMag-std()",-0.553038255314792
"175",9,"STANDING","tBodyGyroJerkMag-mean()",-0.7629795809375
"176",9,"STANDING","tBodyGyroJerkMag-std()",-0.786176892048611
"177",9,"STANDING","tBodyGyroMag-mean()",-0.550201866572569
"178",9,"STANDING","tBodyGyroMag-std()",-0.663198385034722
"179",9,"STANDING","tGravityAccMag-mean()",-0.505183470509188
"180",9,"STANDING","tGravityAccMag-std()",-0.553038255314792
"181",10,"LAYING","fBodyAccMag-mean()",-0.388684286908081
"182",10,"LAYING","fBodyAccMag-std()",-0.535760386288384
"183",10,"LAYING","fBodyBodyAccJerkMag-mean()",-0.385138891111111
"184",10,"LAYING","fBodyBodyAccJerkMag-std()",-0.447367612044293
"185",10,"LAYING","fBodyBodyGyroJerkMag-mean()",-0.710849269646465
"186",10,"LAYING","fBodyBodyGyroJerkMag-std()",-0.741397840909091
"187",10,"LAYING","fBodyBodyGyroMag-mean()",-0.572513090661616
"188",10,"LAYING","fBodyBodyGyroMag-std()",-0.573538825626263
"189",10,"LAYING","tBodyAccJerkMag-mean()",-0.462110641822066
"190",10,"LAYING","tBodyAccJerkMag-std()",-0.409095655168687
"191",10,"LAYING","tBodyAccMag-mean()",-0.357419738586162
"192",10,"LAYING","tBodyAccMag-std()",-0.424185928311495
"193",10,"LAYING","tBodyGyroJerkMag-mean()",-0.665691018181818
"194",10,"LAYING","tBodyGyroJerkMag-std()",-0.714913442525253
"195",10,"LAYING","tBodyGyroMag-mean()",-0.388314506775758
"196",10,"LAYING","tBodyGyroMag-std()",-0.522604974987475
"197",10,"LAYING","tGravityAccMag-mean()",-0.357419738586162
"198",10,"LAYING","tGravityAccMag-std()",-0.424185928311495
"199",10,"STANDING","fBodyAccMag-mean()",-0.786961677072917
"200",10,"STANDING","fBodyAccMag-std()",-0.834157293125
"201",10,"STANDING","fBodyBodyAccJerkMag-mean()",-0.783269770302083
"202",10,"STANDING","fBodyBodyAccJerkMag-std()",-0.770950588979167
"203",10,"STANDING","fBodyBodyGyroJerkMag-mean()",-0.8851999225
"204",10,"STANDING","fBodyBodyGyroJerkMag-std()",-0.881496240729167
"205",10,"STANDING","fBodyBodyGyroMag-mean()",-0.845024943541667
"206",10,"STANDING","fBodyBodyGyroMag-std()",-0.856745923229167
"207",10,"STANDING","tBodyAccJerkMag-mean()",-0.8162927158125
"208",10,"STANDING","tBodyAccJerkMag-std()",-0.777345431613542
"209",10,"STANDING","tBodyAccMag-mean()",-0.801728673104167
"210",10,"STANDING","tBodyAccMag-std()",-0.795247255416667
"211",10,"STANDING","tBodyGyroJerkMag-mean()",-0.876313803854167
"212",10,"STANDING","tBodyGyroJerkMag-std()",-0.880007876041667
"213",10,"STANDING","tBodyGyroMag-mean()",-0.797174474479167
"214",10,"STANDING","tBodyGyroMag-std()",-0.834377870416667
"215",10,"STANDING","tGravityAccMag-mean()",-0.801728673104167
"216",10,"STANDING","tGravityAccMag-std()",-0.795247255416667
"217",11,"WALKING_UPSTAIRS","fBodyAccMag-mean()",-0.611528074359177
"218",11,"WALKING_UPSTAIRS","fBodyAccMag-std()",-0.674470159009494
"219",11,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-mean()",-0.656133473274684
"220",11,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-std()",-0.676925075857595
"221",11,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-mean()",-0.864827011392405
"222",11,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-std()",-0.879254016740506
"223",11,"WALKING_UPSTAIRS","fBodyBodyGyroMag-mean()",-0.757585939588608
"224",11,"WALKING_UPSTAIRS","fBodyBodyGyroMag-std()",-0.711267219682278
"225",11,"WALKING_UPSTAIRS","tBodyAccJerkMag-mean()",-0.679819504547468
"226",11,"WALKING_UPSTAIRS","tBodyAccJerkMag-std()",-0.664241760370253
"227",11,"WALKING_UPSTAIRS","tBodyAccMag-mean()",-0.542825032813608
"228",11,"WALKING_UPSTAIRS","tBodyAccMag-std()",-0.612882270912658
"229",11,"WALKING_UPSTAIRS","tBodyGyroJerkMag-mean()",-0.826829028481013
"230",11,"WALKING_UPSTAIRS","tBodyGyroJerkMag-std()",-0.866905012626582
"231",11,"WALKING_UPSTAIRS","tBodyGyroMag-mean()",-0.628367851066456
"232",11,"WALKING_UPSTAIRS","tBodyGyroMag-std()",-0.696771378957911
"233",11,"WALKING_UPSTAIRS","tGravityAccMag-mean()",-0.542825032813608
"234",11,"WALKING_UPSTAIRS","tGravityAccMag-std()",-0.612882270912658
"235",12,"LAYING","fBodyAccMag-mean()",-0.55928367746625
"236",12,"LAYING","fBodyAccMag-std()",-0.65053328158
"237",12,"LAYING","fBodyBodyAccJerkMag-mean()",-0.564239194378438
"238",12,"LAYING","fBodyBodyAccJerkMag-std()",-0.571614888155312
"239",12,"LAYING","fBodyBodyGyroJerkMag-mean()",-0.78990285099375
"240",12,"LAYING","fBodyBodyGyroJerkMag-std()",-0.7973614576875
"241",12,"LAYING","fBodyBodyGyroMag-mean()",-0.717311676745625
"242",12,"LAYING","fBodyBodyGyroMag-std()",-0.719438065809375
"243",12,"LAYING","tBodyAccJerkMag-mean()",-0.6300504918575
"244",12,"LAYING","tBodyAccJerkMag-std()",-0.566365683597188
"245",12,"LAYING","tBodyAccMag-mean()",-0.559586545675313
"246",12,"LAYING","tBodyAccMag-std()",-0.5743864944925
"247",12,"LAYING","tBodyGyroJerkMag-mean()",-0.77729447821875
"248",12,"LAYING","tBodyGyroJerkMag-std()",-0.7863865328125
"249",12,"LAYING","tBodyGyroMag-mean()",-0.63166805889875
"250",12,"LAYING","tBodyGyroMag-std()",-0.68485805678325
"251",12,"LAYING","tGravityAccMag-mean()",-0.559586545675313
"252",12,"LAYING","tGravityAccMag-std()",-0.5743864944925
"253",13,"LAYING","fBodyAccMag-mean()",-0.589928108599083
"254",13,"LAYING","fBodyAccMag-std()",-0.665344858593272
"255",13,"LAYING","fBodyBodyAccJerkMag-mean()",-0.607295296423853
"256",13,"LAYING","fBodyBodyAccJerkMag-std()",-0.617075473106453
"257",13,"LAYING","fBodyBodyGyroJerkMag-mean()",-0.712054366504281
"258",13,"LAYING","fBodyBodyGyroJerkMag-std()",-0.733183567759939
"259",13,"LAYING","fBodyBodyGyroMag-mean()",-0.652225306544343
"260",13,"LAYING","fBodyBodyGyroMag-std()",-0.691915161336391
"261",13,"LAYING","tBodyAccJerkMag-mean()",-0.625466938809174
"262",13,"LAYING","tBodyAccJerkMag-std()",-0.610248540269939
"263",13,"LAYING","tBodyAccMag-mean()",-0.539871637249541
"264",13,"LAYING","tBodyAccMag-std()",-0.597230982062691
"265",13,"LAYING","tBodyGyroJerkMag-mean()",-0.712745036012232
"266",13,"LAYING","tBodyGyroJerkMag-std()",-0.712056186747706
"267",13,"LAYING","tBodyGyroMag-mean()",-0.581215403184709
"268",13,"LAYING","tBodyGyroMag-std()",-0.636364939544342
"269",13,"LAYING","tGravityAccMag-mean()",-0.539871637249541
"270",13,"LAYING","tGravityAccMag-std()",-0.597230982062691
"271",14,"WALKING_UPSTAIRS","fBodyAccMag-mean()",-0.490874179820433
"272",14,"WALKING_UPSTAIRS","fBodyAccMag-std()",-0.548269930770588
"273",14,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-mean()",-0.596896308848452
"274",14,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-std()",-0.619215144539319
"275",14,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-mean()",-0.717590101802972
"276",14,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-std()",-0.760560087962848
"277",14,"WALKING_UPSTAIRS","fBodyBodyGyroMag-mean()",-0.543030528985449
"278",14,"WALKING_UPSTAIRS","fBodyBodyGyroMag-std()",-0.516930495917399
"279",14,"WALKING_UPSTAIRS","tBodyAccJerkMag-mean()",-0.608973420309907
"280",14,"WALKING_UPSTAIRS","tBodyAccJerkMag-std()",-0.605144269857245
"281",14,"WALKING_UPSTAIRS","tBodyAccMag-mean()",-0.453262620331889
"282",14,"WALKING_UPSTAIRS","tBodyAccMag-std()",-0.474058613408978
"283",14,"WALKING_UPSTAIRS","tBodyGyroJerkMag-mean()",-0.700520939854799
"284",14,"WALKING_UPSTAIRS","tBodyGyroJerkMag-std()",-0.727023009383901
"285",14,"WALKING_UPSTAIRS","tBodyGyroMag-mean()",-0.416459776709257
"286",14,"WALKING_UPSTAIRS","tBodyGyroMag-std()",-0.471486714606811
"287",14,"WALKING_UPSTAIRS","tGravityAccMag-mean()",-0.453262620331889
"288",14,"WALKING_UPSTAIRS","tGravityAccMag-std()",-0.474058613408978
"289",15,"WALKING_UPSTAIRS","fBodyAccMag-mean()",-0.562948391223628
"290",15,"WALKING_UPSTAIRS","fBodyAccMag-std()",-0.623655618198171
"291",15,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-mean()",-0.614817605125915
"292",15,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-std()",-0.643101167069512
"293",15,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-mean()",-0.83680189402439
"294",15,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-std()",-0.849634463841463
"295",15,"WALKING_UPSTAIRS","fBodyBodyGyroMag-mean()",-0.732394493841463
"296",15,"WALKING_UPSTAIRS","fBodyBodyGyroMag-std()",-0.695346839682927
"297",15,"WALKING_UPSTAIRS","tBodyAccJerkMag-mean()",-0.654799694757531
"298",15,"WALKING_UPSTAIRS","tBodyAccJerkMag-std()",-0.625660376546646
"299",15,"WALKING_UPSTAIRS","tBodyAccMag-mean()",-0.527285352000488
"300",15,"WALKING_UPSTAIRS","tBodyAccMag-std()",-0.557147874176037
"301",15,"WALKING_UPSTAIRS","tBodyGyroJerkMag-mean()",-0.805282669512195
"302",15,"WALKING_UPSTAIRS","tBodyGyroJerkMag-std()",-0.837120078079268
"303",15,"WALKING_UPSTAIRS","tBodyGyroMag-mean()",-0.617721779796037
"304",15,"WALKING_UPSTAIRS","tBodyGyroMag-std()",-0.675336960047866
"305",15,"WALKING_UPSTAIRS","tGravityAccMag-mean()",-0.527285352000488
"306",15,"WALKING_UPSTAIRS","tGravityAccMag-std()",-0.557147874176037
"307",16,"WALKING_UPSTAIRS","fBodyAccMag-mean()",-0.666962508246721
"308",16,"WALKING_UPSTAIRS","fBodyAccMag-std()",-0.712680990765301
"309",16,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-mean()",-0.713167613706148
"310",16,"WALKING_UPSTAIRS","fBodyBodyAccJerkMag-std()",-0.729869398769672
"311",16,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-mean()",-0.87277228273224
"312",16,"WALKING_UPSTAIRS","fBodyBodyGyroJerkMag-std()",-0.886533212213115
"313",16,"WALKING_UPSTAIRS","fBodyBodyGyroMag-mean()",-0.81712881920765
"314",16,"WALKING_UPSTAIRS","fBodyBodyGyroMag-std()",-0.802078223409836
"315",16,"WALKING_UPSTAIRS","tBodyAccJerkMag-mean()",-0.725246870486339
"316",16,"WALKING_UPSTAIRS","tBodyAccJerkMag-std()",-0.719647028238525
"317",16,"WALKING_UPSTAIRS","tBodyAccMag-mean()",-0.616131116889044
"318",16,"WALKING_UPSTAIRS","tBodyAccMag-std()",-0.661719690491803
